Transaction Set ID,Transaction Set Control Number,Transaction Set Purpose Code,Reference ID,Report Creation Date,Report Type Code,Report Start Date,Report End Date,Distributor Name,Distributor Identification Code Qualifier,Distributor Identification Code,Product Transfer Type Code,,.1,Reference ID Qualifier,Contract Number,Ship To Name,Ship To Identification Code Qualifier,Ship To Identification Code,Address Information,Address Information.1,City Name,State or Province Code,Postal Code,Quantity Qualifier,Quantity,UOM,Assigned Identification,Product/Service ID Qualifier1,Product/Service ID1,Product/Service ID Qualifier2,Product/Service ID2,Product/Service ID Qualifier3,Product/Service ID3,UOM.1,Unit Price,Basis of Unit Price Code,Amount Qualifier Code,Monetary Amount,Item Description Type,.2,Description,Number of Line Items,Number of Included Segments,Manufacturer Name
867,6940001,00,2014100400582971123,20141004,SS,20140927,20141003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,BKG - GROVEPORT,11,RC0314891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,9844908,,,,,,,,SS,,,DI,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,XX,11,XX,XX,XX,XX,XX,028000000,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,32,468,EA,,N4,58914017014,PI,3590288,MG,017014,EA,109.67,WH,1,51325.56,F,,CARAFATE 1GM/10ML 414ML,,,
,,,9844919,,,,,,,,SS,,,DI,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,CARDINAL HEALTH,11,RW0263056,600 N 83RD AVE,,TOLLESON,AZ,853530000,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,32,72,EA,,N4,58914050156,PI,3640638,MG,050156,EA,709.16,WH,1,51059.52,F,,CANASA 1000MG 30 RECTAL,,,
,,,,,,,,,,,,,,,,,,,,,,,,32,48,EA,,N4,42865010002,PI,4259875,MG,010002,EA,109.75,WH,1,5268,F,,ZENPEP 5000U 100 DR,,,
,,,,,,,,,,,,,,,,,,,,,,,,32,36,EA,,N4,42865010102,PI,4259883,MG,010102,EA,216.95,WH,1,7810.2,F,,ZENPEP 10000U 100 DR,,,
,,,9844922,,,,,,,,IB,,,92,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,CARDINAL HEALTH,11,RW0279996,851 HENRIETTA CREEK ROAD,,ROANOKE,TX,762620000,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,32,120,EA,,N4,58914017014,PI,3590288,MG,017014,EA,109.67,WH,1,13160.4,F,,CARAFATE 1GM/10ML 414ML,,,
,,,9844929,,,,,,,,IB,,,92,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,CARDINAL HEALTH,11,RW0279996,851 HENRIETTA CREEK ROAD,,ROANOKE,TX,762620000,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,32,72,EA,,N4,58914017014,PI,3590288,MG,017014,EA,109.67,WH,1,7896.24,F,,CARAFATE 1GM/10ML 414ML,,,
,,,9844933,,,,,,,,SS,,,DI,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,XX,11,XX,XX,XX,XX,XX,379000000,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,32,444,EA,,N4,58914017014,PI,3590288,MG,017014,EA,109.67,WH,1,48693.48,F,,CARAFATE 1GM/10ML 414ML,,,
,,,9844937,,,,,,,,SS,,,DI,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,XX,11,XX,XX,XX,XX,XX,148000000,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,32,336,EA,,N4,58914017014,PI,3590288,MG,017014,EA,109.67,WH,1,36849.12,F,,CARAFATE 1GM/10ML 414ML,,,
,,,9844940,,,,,,,,SS,,,DI,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,XX,11,XX,XX,XX,XX,XX,080000000,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,32,204,EA,,N4,58914017014,PI,3590288,MG,017014,EA,109.67,WH,1,22372.68,F,,CARAFATE 1GM/10ML 414ML,,,
,,,9844943,,,,,,,,IB,,,92,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,CARDINAL HEALTH,11,RC0182080,2045 INTERSTATE DRIVE,,LAKELAND,FL,338050000,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,32,84,EA,,N4,58914017014,PI,3590288,MG,017014,EA,109.67,WH,1,9212.28,F,,CARAFATE 1GM/10ML 414ML,,,
,,,9844944,,,,,,,,IB,,,92,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,CARDINAL HEALTH,11,RC0182080,2045 INTERSTATE DRIVE,,LAKELAND,FL,338050000,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,32,204,EA,,N4,58914017014,PI,3590288,MG,017014,EA,109.67,WH,1,22372.68,F,,CARAFATE 1GM/10ML 414ML,,,
,,,9844945,,,,,,,,SS,,,DI,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,XX,11,XX,XX,XX,XX,XX,462000000,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,32,168,EA,,N4,58914017014,PI,3590288,MG,017014,EA,109.67,WH,1,18424.56,F,,CARAFATE 1GM/10ML 414ML,,,
,,,9845024,,,,,,,,SS,,,DI,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,KROGER LIMITED PARTNERSHIP I,11,RK0233180,153 REFRESHMENT LANE,,CLEVELAND,TN,373110000,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,32,360,EA,,N4,58914017014,PI,3590288,MG,017014,EA,109.67,WH,1,39481.2,F,,CARAFATE 1GM/10ML 414ML,,,
,,,,,,,,,,,,,,,,,,,,,,,,32,36,EA,,N4,58914050156,PI,3640638,MG,050156,EA,709.16,WH,1,25529.76,F,,CANASA 1000MG 30 RECTAL,,,
,,,,,,,,,,,,,,,,,,,,,,,,32,24,EA,,N4,42865010002,PI,4259875,MG,010002,EA,109.75,WH,1,2634,F,,ZENPEP 5000U 100 DR,,,
,,,9845025,,,,,,,,SS,,,DI,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,KROGER LIMITED PARTNERSHIP II,11,PP0220828,1111 SOUTH ADAMS STREET,,BLUFFTON,IN,467140000,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,32,360,EA,,N4,58914017014,PI,3590288,MG,017014,EA,109.67,WH,1,39481.2,F,,CARAFATE 1GM/10ML 414ML,,,
,6940001,,,,,,,,,,,,,,,,,,,,,,,32,12,EA,,N4,42865010102,PI,4259883,MG,010102,EA,216.95,WH,1,2603.4,F,,ZENPEP 10000U 100 DR,17,165,
867,6940002,00,2014100400582975132,20141004,SS,20140927,20141003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,BKG - PHOENIX,11,RW0263056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1959478,,,,,,,,SS,,,DI,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,SMITH'S FOOD & DRUG CTR'S INC,11,RS0261379,5305 W. BUCKEYE RD,,PHOENIX,AZ,850430000,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,32,288,EA,,N4,58914017014,PI,3590288,MG,017014,EA,109.67,WH,1,31584.96,F,,CARAFATE 1GM/10ML 414ML,,,
,,,,,,,,,,,,,,,,,,,,,,,,32,60,EA,,N4,42865010102,PI,4259883,MG,010102,EA,216.95,WH,1,13017,F,,ZENPEP 10000U 100 DR,,,
,6940002,,,,,,,,,,,,,,,,,,,,,,,32,12,EA,,N4,42865010202,PI,4259891,MG,010202,EA,313.34,WH,1,3760.08,F,,ZENPEP 15000U 100 DR,3,29,
867,6940003,00,2014100400582975138,20141004,SS,20140927,20141003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,BKG - WACO,11,RW0279996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1608429,,,,,,,,SS,,,DI,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,XX,11,XX,XX,XX,XX,XX,751000000,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,32,72,EA,,N4,58914017014,PI,3590288,MG,017014,EA,109.67,WH,1,7896.24,F,,CARAFATE 1GM/10ML 414ML,,,
,,,1608431,,,,,,,,SS,,,DI,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,XX,11,XX,XX,XX,XX,XX,773000000,,,,,,,,,,,,,,,,,,,,,
,6940003,,,,,,,,,,,,,,,,,,,,,,,32,120,EA,,N4,58914017014,PI,3590288,MG,017014,EA,109.67,WH,1,13160.4,F,,CARAFATE 1GM/10ML 414ML,2,30,
867,6940004,00,2014100401070743003,20141004,SS,20140927,20141003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,SYRACUSE,11,PC0003044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0495034,,,,,,,,RU,,,DI,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,XX,11,XX,XX,XX,XX,XX,183000000,,,,,,,,,,,,,,,,,,,,,
