Transaction Set ID,Transaction Set Control Number,Transaction Set Purpose Code,Reference ID,Report Creation Date,Report Type Code,Report Start Date,Report End Date,Distributor Name,Distributor Identification Code Qualifier,Distributor Identification Code,Product Transfer Type Code,,.1,Reference ID Qualifier,Contract Number,Ship To Name,Ship To Identification Code Qualifier,Ship To Identification Code,Address Information,Address Information.1,City Name,State or Province Code,Postal Code,Quantity Qualifier,Quantity,UOM,Assigned Identification,Product/Service ID Qualifier1,Product/Service ID1,Product/Service ID Qualifier2,Product/Service ID2,Product/Service ID Qualifier3,Product/Service ID3,UOM.1,Unit Price,Basis of Unit Price Code,Amount Qualifier Code,Monetary Amount,Item Description Type,.2,Description,Number of Line Items,Number of Included Segments,Manufacturer Name
867,6940001,00,9844908,20141004,SS,20140927,20141003,BKG - GROVEPORT,11,RC0314891,SS,,,DI,XX,XX,11,XX,XX,XX,XX,XX,028000000,32,468,EA,,N4,58914017014,PI,3590288,MG,017014,EA,109.67,WH,1,51325.56,F,,CARAFATE 1GM/10ML 414ML,17,165,
867,6940001,00,9844919,20141004,SS,20140927,20141003,BKG - GROVEPORT,11,RC0314891,SS,,,DI,NA,CARDINAL HEALTH,11,RW0263056,600 N 83RD AVE,XX,TOLLESON,AZ,853530000,32,72,EA,,N4,58914050156,PI,3640638,MG,050156,EA,709.16,WH,1,51059.52,F,,CANASA 1000MG 30 RECTAL,17,165,
867,6940001,00,9844919,20141004,SS,20140927,20141003,BKG - GROVEPORT,11,RC0314891,SS,,,DI,NA,CARDINAL HEALTH,11,RW0263056,600 N 83RD AVE,XX,TOLLESON,AZ,853530000,32,48,EA,,N4,42865010002,PI,4259875,MG,010002,EA,109.75,WH,1,5268,F,,ZENPEP 5000U 100 DR,17,165,
867,6940001,00,9844919,20141004,SS,20140927,20141003,BKG - GROVEPORT,11,RC0314891,SS,,,DI,NA,CARDINAL HEALTH,11,RW0263056,600 N 83RD AVE,XX,TOLLESON,AZ,853530000,32,36,EA,,N4,42865010102,PI,4259883,MG,010102,EA,216.95,WH,1,7810.2,F,,ZENPEP 10000U 100 DR,17,165,
867,6940001,00,9844922,20141004,SS,20140927,20141003,BKG - GROVEPORT,11,RC0314891,IB,,,92,NA,CARDINAL HEALTH,11,RW0279996,851 HENRIETTA CREEK ROAD,XX,ROANOKE,TX,762620000,32,120,EA,,N4,58914017014,PI,3590288,MG,017014,EA,109.67,WH,1,13160.4,F,,CARAFATE 1GM/10ML 414ML,17,165,
867,6940001,00,9844929,20141004,SS,20140927,20141003,BKG - GROVEPORT,11,RC0314891,IB,,,92,NA,CARDINAL HEALTH,11,RW0279996,851 HENRIETTA CREEK ROAD,XX,ROANOKE,TX,762620000,32,72,EA,,N4,58914017014,PI,3590288,MG,017014,EA,109.67,WH,1,7896.24,F,,CARAFATE 1GM/10ML 414ML,17,165,
867,6940001,00,9844933,20141004,SS,20140927,20141003,BKG - GROVEPORT,11,RC0314891,SS,,,DI,XX,XX,11,XX,XX,XX,XX,XX,379000000,32,444,EA,,N4,58914017014,PI,3590288,MG,017014,EA,109.67,WH,1,48693.48,F,,CARAFATE 1GM/10ML 414ML,17,165,
867,6940001,00,9844937,20141004,SS,20140927,20141003,BKG - GROVEPORT,11,RC0314891,SS,,,DI,XX,XX,11,XX,XX,XX,XX,XX,148000000,32,336,EA,,N4,58914017014,PI,3590288,MG,017014,EA,109.67,WH,1,36849.12,F,,CARAFATE 1GM/10ML 414ML,17,165,
867,6940001,00,9844940,20141004,SS,20140927,20141003,BKG - GROVEPORT,11,RC0314891,SS,,,DI,XX,XX,11,XX,XX,XX,XX,XX,080000000,32,204,EA,,N4,58914017014,PI,3590288,MG,017014,EA,109.67,WH,1,22372.68,F,,CARAFATE 1GM/10ML 414ML,17,165,
867,6940001,00,9844943,20141004,SS,20140927,20141003,BKG - GROVEPORT,11,RC0314891,IB,,,92,NA,CARDINAL HEALTH,11,RC0182080,2045 INTERSTATE DRIVE,XX,LAKELAND,FL,338050000,32,84,EA,,N4,58914017014,PI,3590288,MG,017014,EA,109.67,WH,1,9212.28,F,,CARAFATE 1GM/10ML 414ML,17,165,
